core,from,edge,to,cites_pre2010,cites,cites_empirical,mechanism,cite_weight,cite_empirical_weight,...11,...12
T,computers,"increases, imperfectly",detect gerrymandering,NA,"Altman & McDonald 2010, Wang 2016, Altman & McDonald 2011",Wang 2016,Altman and McDonald (2010) argue that simulations cannot adequately detect gerrymanders. Wang proposes three tests to detect the effects and intents of gerrymanders. Altman and McDonald (2011) provide an open source program for redistricting analysis,1,1,NA,NA
T,computers,increases,public participation,NA,"Altman & McDonald 2010, Altman & McDonald 2011",NA,Altman & McDonald argue that computers can be used to allow the public to participate in the map-drawing process by soliciting information and education about redistricting.,1,0,NA,NA
T,legislator information about district,increases,floor votes align with district preferences,NA,"Butler, D and Nickerson, D 2011; Broockman and Skovron 2018; and Hertel-Fernandez et al. 2018",NA,NA,3,0,NA,NA
T,legislator information seeking,increases,legislator information about district,NA,"spinning out Butler, Broockman, and Hertel-Fernandez",NA,NA,1,0,NA,NA
T,number of minority representatives,increases in expectation,proportional minority representation,NA,NA,NA,NA,0,0,NA,NA
T,communities preserved,"increases in expectation if cor(party,community)>0, but in practice, lumping enough members of come communities to secure a seat (e.g. a majority minority district) can be tricky depending on the dispersion of the population",proportionality,NA,NA,NA,"If racial groups or like municipal jurisdictions have partisan leanings, then preserving communities will tend to make the distribution of votes correspond to the distribution of seats.",0,0,NA,NA
T,communities preserved,decreases overall (but heterogeneous and conditional on correlation between party and community),partisan advantage,Cain et al. 2005,NA,NA,"if cor(party, community)>0, preserving communities conflicts with drawing ""cracked""/""minimally safe"" districts.",0,0,NA,NA
T,communities preserved,There is an active debate whether preserving communities ought to create majority minority districts or rather focus on minority influence districts.,majority minority districts,NA,NA,NA,NA,0,0,NA,NA
T,communities preserved,increases,legislator information about district,NA,"spinning out Butler, Broockman, and Hertel-Fernandez",NA,NA,1,0,NA,NA
T,Number of competitive districts,increases (mean) but makes big swings possible (may increase variance),proportionality,but see Cain 1985; Buchler 2005; Brunell 2008 arguing that competition decreases representative outcomes.,NA,NA,"- Competitiveness increases variance in the proportionality of seats
- Increasing certainty of proportional outcome means decreasing the competitiveness of districts",0,0,NA,NA
T,Number of competitive districts,"decreases if cor(party, community)>0",communities preserved,Cain 1985; Persily 2002; Buchler 2005; Brunell 2008,NA,NA,"If racial groups or like municipal jurisdictions have partisan leanings, then creating more competitive districts often means splitting communities across districts.",0,0,NA,NA
T,Number of competitive districts,decreases,partisan advantage,Cain et al. 2005,NA,NA,A partisan gerrymander aims to decrease the number of competitive district.,0,0,NA,NA
T,Number of competitive districts,increases,legislator information seeking,NA,"spinning out Butler, Broockman, and Hertel-Fernandez",NA,NA,1,0,NA,NA
T,partisan advantage,decreases,proportionality,NA,Caughey et al. 2017,NA,A partisan gerrymander aims to diverge from proportionality.,1,0,NA,NA
T,partisan advantage,decreases? or increases? open question?,Number of competitive districts,Gopian & West 1984; Glazer et al. 1987; Lublin & McDonald 2006;  Jacobson 2005; Abramowitz et al. 2006,NA,NA,"A partisan gerrymander aims to decrease the number of competitive district, but some research suggests that partisan gerrymanders have a neutral or positive effect on competition.",5,0,NA,NA
T,partisan advantage,decreases overall (but heterogeneous and conditional on correlation between party and community),communities preserved,Cain et al. 2005,NA,NA,"A partisan gerrymander aims to maximize ""minimally safe"" districts--districts with a sizable minority share, often from a ""cracked"" community. Any remaining ""packed"" districts do often preserve communities, however.",0,0,NA,NA
T,partisan advantage,increases,efficiency gap,NA,NA,NA,The efficiency gap is a measure of partisan advantage,0,0,NA,NA
T,proportionality,decreases. Ensuring proportionally means few swing districts.,Number of competitive districts,NA,NA,NA,NA,0,0,NA,NA
T,proportionality,decreases,partisan advantage,NA,NA,NA,"Proportionality is inverse to measures of partisan advantage like wasted votes, swing ratios, and the efficiency gap.",0,0,NA,NA
T,proportionality,"increases in expectation if cor(party, community)>0",communities preserved,NA,NA,NA,"If racial groups or municipal jurisdictions have partisan leanings, then drawing a map that ensures a proportional share of seats will often lump these communities.",0,0,NA,NA
T,maintaining communities,NA,constitutional test,NA,Stephanopoulos 2012,NA,"Stephanopoulos argues that the Supreme Court ought to adopt a test of political gerrymandering based on the ""territorial community."" In short, if a district map disrupts an organic geographic community, it is unconstitutional.",1,0,NA,NA
T,mean-median vote comparison,NA,detect gerrymandering,NA,"McDonald & Best 2015, Wang 2016",Wang 2016,McDonald & Best propose a new measure of detecting gerrymanders; compare a party's median vote share in a district to its mean vote share. Wang proposes a similar measure of gerrymandering based on comparing mean and median vote shares.,1,1,NA,NA
T,mean-median vote comparison,NA,constitutional test,NA,McDonald & Best 2015,NA,McDonald & Best argue that their measure of gerryamndering can be extended to identify which gerrymanders are unconstitutional,1,0,NA,NA
T,compactness,"Parabolic (but positive for partisan gerrymandered maps, maybe most maps?) for any geographically-concentrated community.",communities preserved,Wildgen & Engstrom 1980,NA,NA,"If communities are geographically concentrated, more compact districts will align with them up to a point where following community boundaries means slightly less compact districts.",0,0,NA,NA
T,compactness,"Parabolic, but negative for most existing maps.
Makes highly partisan maps more difficult to draw",partisan advantage,Wildgen & Engstrom 1980,NA,NA,"Compactness requirements make extreme partisan gerrymandering difficult, but also frustrate efforts to draw competitive districts (Wildgen & Engstrom 1980), often advantaging parties with less concentrated voters (compactness ends up ""packing"" geographically concentrated voting blocks like democrats in urban areas, thus creating 'wasted` votes).",0,0,NA,NA
T,partisan gerrymandering,NA,unconstitutional government interest,NA,Kang 2017,NA,Kang argues that it is unconstitutional for the government to take partisanship into account when determining district lines,1,0,NA,NA
T,partisan gerrymandering,increases,instability,NA,Yoshinaka & Murhpy 2011,Yoshinaka & Murhpy 2011,"Partisan mapmakers can create political instability, particularly for their opponent legislators, by breaking the link between representatives and constituents",1,1,NA,NA
T,partisan gerrymandering,no effect,elite polarization,NA,Masket et al. 2012,Masket et al. 2012,"Masket et al. find that partisan redistricting do not have much effect on legislative polarization, as it is swamped by other factors",1,1,NA,NA
T,majority minority districts,increases,number of minority representatives,Griffin & Newman 2007,Atsusaka 2021,Atsusaka 2021,"Where minorities are a majority, they are have a better chance of electing a representative; Atsusaka 2021 creates a logical model that allows minority candidate appearance to be a result of (1) the electoral performance of coethnic candidates in the most recent elections and (2) the racial composition of a district.",1,1,NA,NA
T,majority minority districts,"decreases if cor(party, community)>0",Number of competitive districts,Handley et al. 1999; Lublin & McDonald 2006,NA,NA,NA,2,0,NA,NA
T,majority minority districts,decreases,partisan advantage,NA,Cox & Holden 2011,NA,"Cox and Holden argue that the optimal gerrymandering strategy is to cluster your strong partisan supporters into districts with a smaller number of strong partisan opponents. Thus, the Voting Rights Act's majority-minority districts limit Republicans' ability to effectively gerrymander.",1,0,NA,NA
