from_CD116FP,to_CD116FP,facebook_sci
03,03,850188
03,07,148902
03,08,52823
03,06,87065
03,02,125696
03,05,74046
03,01,39737
03,04,178845
07,03,165021
07,07,803742
07,08,71147
07,06,97058
07,02,53345
07,05,66113
07,01,33045
07,04,154633
08,03,34760
08,07,38310
08,08,995091
08,06,294671
08,02,53987
08,05,76712
08,01,31113
08,04,255431
06,03,40251
06,07,23490
06,08,162849
06,06,933867
06,02,118606
06,05,193300
06,01,49080
06,04,496138
02,03,52595
02,07,11855
02,08,22448
02,06,45165
02,02,765383
02,05,56364
02,01,49834
02,04,138515
05,03,11521
05,07,7987
05,08,22632
05,06,75616
05,02,69910
05,05,515978
05,01,73969
05,04,532987
01,03,9112
01,07,5743
01,08,15834
01,06,20643
01,02,61412
01,05,120444
01,01,626152
01,04,395778
04,03,2188
04,07,1598
04,08,9577
04,06,10309
04,02,22296
04,05,96555
04,01,37983
04,04,1088428
