OD_Pairs,Flow_Count
"(1, 1)",416613.0
"(1, 2)",10663.0
"(1, 3)",17257.0
"(1, 4)",2762.0
"(1, 5)",303.0
"(1, 6)",3023.0
"(1, 7)",205.0
"(1, 8)",146.0
"(2, 1)",10486.0
"(2, 2)",351436.0
"(2, 3)",366.0
"(2, 4)",835.0
"(2, 5)",125.0
"(2, 6)",64.0
"(2, 7)",57.0
"(2, 8)",155.0
"(3, 1)",7564.0
"(3, 2)",266.0
"(3, 3)",475353.0
"(3, 4)",533.0
"(3, 5)",17784.0
"(3, 6)",3280.0
"(3, 7)",925.0
"(3, 8)",617.0
"(4, 1)",1903.0
"(4, 2)",534.0
"(4, 3)",303.0
"(4, 4)",523024.0
"(4, 5)",81.0
"(4, 6)",24923.0
"(4, 7)",729.0
"(4, 8)",333.0
"(5, 1)",310.0
"(5, 2)",58.0
"(5, 3)",13796.0
"(5, 4)",480.0
"(5, 5)",512506.0
"(5, 6)",2916.0
"(5, 7)",34782.0
"(5, 8)",38628.0
"(6, 1)",3368.0
"(6, 2)",156.0
"(6, 3)",11158.0
"(6, 4)",54123.0
"(6, 5)",6412.0
"(6, 6)",430061.0
"(6, 7)",31500.0
"(6, 8)",1950.0
"(7, 1)",101.0
"(7, 2)",27.0
"(7, 3)",214.0
"(7, 4)",320.0
"(7, 5)",27864.0
"(7, 6)",12037.0
"(7, 7)",333333.0
"(7, 8)",28204.0
"(8, 1)",62.0
"(8, 2)",142.0
"(8, 3)",194.0
"(8, 4)",150.0
"(8, 5)",16072.0
"(8, 6)",72.0
"(8, 7)",25796.0
"(8, 8)",412171.0
